"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"453877662","n/a","Instructions / Creator / Model / Airport","Used","","(Instructions) for Set 6912 Super Soarer Only 1 book. Только 1 книга","на Янковского","$0.30","1","1","0%","","6912-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","92","","1/18/2025","","USD"
"453879945","n/a","Instructions / Friends","Used","","(Instructions) for Set 41327 Mia's Bedroom Was bent in half. Excellent condition. Была согнута пополам. Состояние отличное.","на Янковского","$0.42","1","1","0%","","41327-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","25","","1/18/2025","","USD"
"453881278","n/a","Instructions / Friends","Used","","(Instructions) for Set 41425 Olivia&#39;s Flower Garden Slightly shabby. There are bends. Слегка потрепана. Есть изгибы","на Янковского","$0.20","1","1","0%","","41425-1","0","$0.00","0","$0.00","0","$0.00","","No","No","","","19","","1/18/2025","","USD"
"455824191","Black","Parts / Technic, Liftarm","Used","","Black Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.26","8","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455824338","Green","Parts / Technic, Liftarm","Used","","Green Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.18","1","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455824368","Light Bluish Gray","Parts / Technic, Liftarm","Used","","Light Bluish Gray Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.41","1","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455824422","Medium Azure","Parts / Technic, Liftarm","Used","","Medium Azure Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.27","2","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455824433","Lime","Parts / Technic, Liftarm","Used","","Lime Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.26","2","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455824532","Yellow","Parts / Technic, Liftarm","Used","","Yellow Technic, Liftarm Thick 1 x 13 ","ящик 1.2","$0.23","2","1","0%","","41239","0","$0.00","0","$0.00","0","$0.00","","No","No","","","3.3","","1/28/2025","","USD"
"455837449","Red","Parts / Technic, Liftarm","Used","","Red Technic, Liftarm Thick 1 x 5 ","ящик 1.2","$0.06","14","1","0%","","32316","0","$0.00","0","$0.00","0","$0.00","","No","No","","","1.25","","1/28/2025","","USD"
"455839627","Yellow","Parts / Technic, Liftarm","Used","","Yellow Technic, Liftarm Thick 1 x 2 ","ящик 1.2","$0.09","8","1","0%","","43857","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.4","","1/28/2025","","USD"
"455839728","Light Gray","Parts / Technic, Liftarm","Used","","Light Gray Technic, Liftarm Thick 1 x 2 ","ящик 1.2","$0.57","1","1","0%","","43857","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.4","","1/28/2025","","USD"
"455840349","Black","Parts / Technic, Liftarm","Used","","Black Technic, Liftarm Thick 1 x 3 ","ящик 1.2","$0.07","28","1","0%","","32523","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.7","","1/28/2025","","USD"
"455840456","Blue","Parts / Technic, Liftarm","Used","","Blue Technic, Liftarm Thick 1 x 3 ","ящик 1.2","$0.06","16","1","0%","","32523","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.7","","1/28/2025","","USD"
"455840542","Dark Bluish Gray","Parts / Technic, Liftarm","Used","","Dark Bluish Gray Technic, Liftarm Thick 1 x 3 ","ящик 1.2","$0.05","26","1","0%","","32523","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.7","","1/28/2025","","USD"
